"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2020","8","1","00:00","391.5"
"Jokioinen Ilmala","2020","8","2","00:00","129.1"
"Jokioinen Ilmala","2020","8","3","00:00","222.6"
"Jokioinen Ilmala","2020","8","4","00:00","235"
"Jokioinen Ilmala","2020","8","5","00:00","362.6"
"Jokioinen Ilmala","2020","8","6","00:00","10.4"
"Jokioinen Ilmala","2020","8","7","00:00","229.5"
"Jokioinen Ilmala","2020","8","8","00:00","448.8"
"Jokioinen Ilmala","2020","8","9","00:00","254.6"
"Jokioinen Ilmala","2020","8","10","00:00","396.1"
"Jokioinen Ilmala","2020","8","11","00:00","323.6"
"Jokioinen Ilmala","2020","8","12","00:00","103.5"
"Jokioinen Ilmala","2020","8","13","00:00","131.1"
"Jokioinen Ilmala","2020","8","14","00:00","279.1"
"Jokioinen Ilmala","2020","8","15","00:00","297.2"
"Jokioinen Ilmala","2020","8","16","00:00","441.6"
"Jokioinen Ilmala","2020","8","17","00:00","420.4"
"Jokioinen Ilmala","2020","8","18","00:00","420.2"
"Jokioinen Ilmala","2020","8","19","00:00","181.7"
"Jokioinen Ilmala","2020","8","20","00:00","377.7"
"Jokioinen Ilmala","2020","8","21","00:00","305.6"
"Jokioinen Ilmala","2020","8","22","00:00","0.2"
"Jokioinen Ilmala","2020","8","23","00:00","240"
"Jokioinen Ilmala","2020","8","24","00:00","207.3"
"Jokioinen Ilmala","2020","8","25","00:00","152.5"
"Jokioinen Ilmala","2020","8","26","00:00","267.1"
"Jokioinen Ilmala","2020","8","27","00:00","381.1"
"Jokioinen Ilmala","2020","8","28","00:00","287.3"
"Jokioinen Ilmala","2020","8","29","00:00","189.8"
"Jokioinen Ilmala","2020","8","30","00:00","1.4"
"Jokioinen Ilmala","2020","8","31","00:00","1.1"
"Jokioinen Ilmala","2020","9","1","00:00","366.6"
"Jokioinen Ilmala","2020","9","2","00:00","270.2"
"Jokioinen Ilmala","2020","9","3","00:00","4.4"
"Jokioinen Ilmala","2020","9","4","00:00","8.9"
"Jokioinen Ilmala","2020","9","5","00:00","20.3"
"Jokioinen Ilmala","2020","9","6","00:00","98.9"
"Jokioinen Ilmala","2020","9","7","00:00","279.7"
"Jokioinen Ilmala","2020","9","8","00:00","4.5"
"Jokioinen Ilmala","2020","9","9","00:00","6.9"
"Jokioinen Ilmala","2020","9","10","00:00","166.7"
"Jokioinen Ilmala","2020","9","11","00:00","98"
"Jokioinen Ilmala","2020","9","12","00:00","0.9"
"Jokioinen Ilmala","2020","9","13","00:00","298"
"Jokioinen Ilmala","2020","9","14","00:00","248"
"Jokioinen Ilmala","2020","9","15","00:00","143.1"
"Jokioinen Ilmala","2020","9","16","00:00","0.1"
"Jokioinen Ilmala","2020","9","17","00:00","2"
"Jokioinen Ilmala","2020","9","18","00:00","126.1"
"Jokioinen Ilmala","2020","9","19","00:00","237.7"
"Jokioinen Ilmala","2020","9","20","00:00","120.5"
"Jokioinen Ilmala","2020","9","21","00:00","39.6"
"Jokioinen Ilmala","2020","9","22","00:00","35.9"
"Jokioinen Ilmala","2020","9","23","00:00","192.9"
"Jokioinen Ilmala","2020","9","24","00:00","88.9"
"Jokioinen Ilmala","2020","9","25","00:00","57.8"
"Jokioinen Ilmala","2020","9","26","00:00","142.4"
"Jokioinen Ilmala","2020","9","27","00:00","229.4"
"Jokioinen Ilmala","2020","9","28","00:00","205.9"
"Jokioinen Ilmala","2020","9","29","00:00","0.1"
"Jokioinen Ilmala","2020","9","30","00:00","4"
"Jokioinen Ilmala","2020","10","1","00:00","98.6"
