"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation maximum [W/m2]"
"Sodankylä Tähtelä","2023","12","1","00:00","1.1"
"Sodankylä Tähtelä","2023","12","2","00:00","68.5"
"Sodankylä Tähtelä","2023","12","3","00:00","0.8"
"Sodankylä Tähtelä","2023","12","4","00:00","0.4"
"Sodankylä Tähtelä","2023","12","5","00:00","1.3"
"Sodankylä Tähtelä","2023","12","6","00:00","5.3"
"Sodankylä Tähtelä","2023","12","7","00:00","1.4"
"Sodankylä Tähtelä","2023","12","8","00:00","1.4"
"Sodankylä Tähtelä","2023","12","9","00:00","0.3"
"Sodankylä Tähtelä","2023","12","10","00:00","0.8"
"Sodankylä Tähtelä","2023","12","11","00:00","0.4"
"Sodankylä Tähtelä","2023","12","12","00:00","0.3"
"Sodankylä Tähtelä","2023","12","13","00:00","1.6"
"Sodankylä Tähtelä","2023","12","14","00:00","1.7"
"Sodankylä Tähtelä","2023","12","15","00:00","0.5"
"Sodankylä Tähtelä","2023","12","16","00:00","0.8"
"Sodankylä Tähtelä","2023","12","17","00:00","2"
"Sodankylä Tähtelä","2023","12","18","00:00","2.1"
"Sodankylä Tähtelä","2023","12","19","00:00","1.5"
"Sodankylä Tähtelä","2023","12","20","00:00","2.4"
"Sodankylä Tähtelä","2023","12","21","00:00","3.5"
"Sodankylä Tähtelä","2023","12","22","00:00","4.4"
"Sodankylä Tähtelä","2023","12","23","00:00","1.1"
"Sodankylä Tähtelä","2023","12","24","00:00","1.6"
"Sodankylä Tähtelä","2023","12","25","00:00","1.1"
"Sodankylä Tähtelä","2023","12","26","00:00","1.1"
"Sodankylä Tähtelä","2023","12","27","00:00","0.1"
"Sodankylä Tähtelä","2023","12","28","00:00","2.1"
"Sodankylä Tähtelä","2023","12","29","00:00","0.8"
"Sodankylä Tähtelä","2023","12","30","00:00","2.2"
"Sodankylä Tähtelä","2023","12","31","00:00","1.1"
"Sodankylä Tähtelä","2024","1","1","00:00","7.7"
